Deal ID	Companies	Year Founded	Employees	Raised to Date	Announced Date	All Industries	Primary Industry Sector	Primary Industry Group	New Investors	Implied EV	Keywords	Verticals	Deal Size	Post Valuation	EBITDA	Valuation/EBITDA	Revenue	Valuation/Revenue	Net Income	Deal Date	Deal Type	Investors	Primary Industry Code	HQ Location	View Company Online
178099-57T	&ever	2015		3.61	01-Jul-2021	"Cultivation*, Horticulture"	Materials and Resources	Agriculture	Kalera (Munich)	120.92	"farming company, farming food, farming goods, farming innovation, farming produce, farming technology, indoor farming, indoor growers"	"AgTech, Supply Chain Tech"	120.92	120.92						01-Oct-2021	Merger/Acquisition	Kalera (Munich)(Daniel Malechuk)	Cultivation	"Munich, Germany"	
213099-31T	1606 (OTCM: CBDW)	2021		0.08	19-Aug-2021	"Automation/Workflow Software, Communication Software*, IT Consulting and Outsourcing"	Information Technology	Software			"ai chatbot, ai chatbot development company, ai chatbot platform, ai chatbot solutions, ai chatbot website, cannabidiol industry"	Artificial Intelligence & Machine Learning	0.75	18.55	-0.54	-34.35	0.01	1330.44	-0.54	12-Jan-2023	IPO		Communication Software	"Phoenix, AZ"	
172264-42T	1stdibs (NAS: DIBS)	2001		366.85	17-May-2021	"Luxury Goods, Specialty Retail*"	Consumer Products and Services (B2C)	Retail			"antiques furniture, antiques items, decorative arts shopping, luxury items, luxury products, online marketplace, vintage collection"	"E-Commerce, TMT"	115	731.92	-4.42	-165.78	89.5	8.18	-8.37	10-Jun-2021	IPO		Specialty Retail	"New York, NY"	
191355-31T	21seeds	2018				Beverages*	Consumer Products and Services (B2C)	Consumer Non-Durables		161.93	"beverages labels, cocktails, cocktails maker, tequila maker, tequila manufacturer, tequila producer"		161.93	161.93						31-Mar-2022	Merger/Acquisition	Diageo (LON: DGE)	Beverages	"San Francisco, CA"	
183373-75T	24Storage	2014		73.92	22-Nov-2021	"Logistics*, Other Commercial Services, Other Services (B2C Non-Financial)"	Business Products and Services (B2B)	Commercial Services		105.56	"self storage operator, self storage platform, smart storage, storage services, store facilities, store facility, warehouse space"	Industrials	121.15	124.67	18.85	6.62	11.73	10.63	7.96	20-Dec-2021	Merger/Acquisition	Teachers Insurance and Annuity Association of America	Logistics	"Stockholm, Sweden"	
243861-58T	2600Hz	2010				"Business/Productivity Software, Communication Software*, Other Communications and Networking, Vertical Market Software"	Information Technology	Software		33	"application infrastructure, business telephony, communication platform, contact center, messaging platform, network management, private cloud, private cloud server, telecom software, voice services"	CloudTech & DevOps	33	33						20-Oct-2023	Merger/Acquisition	Ooma (NYS: OOMA)(Eric Stang)	Communication Software	"Henderson, NV"	
164985-40T	2nd.MD	2011	320	6.29	14-Jan-2021	"Clinics/Outpatient Services*, Other Healthcare Technology Systems"	Healthcare	Healthcare Services		420.09	"enterprise resource planning, erp, experts second opinion, general care, human capital management, online medical consultant, physician platform, primary care, telehealth, video consultation, video consultation platform"	"HealthTech, Mobile, SaaS, TMT"	420.09	420.09			35	12		02-Mar-2021	Merger/Acquisition	Accolade (Managed Care)(Rajeev Singh)	Clinics/Outpatient Services	"Houston, TX"	
184488-31T	"300 (Movies, Music and Entertainment)"	2012		15	03-Dec-2021	"Movies, Music and Entertainment*, Other Commercial Services"	Consumer Products and Services (B2C)	Media		397	"music business, music content, music industry, music marketing, music promotion, music records labels, record labels"		397	397						16-Dec-2021	Merger/Acquisition	Warner Music Group (NAS: WMG)(Max Lousada)	"Movies, Music and Entertainment"	"New York, NY"	
323060-32T	35Pharma	2021		69.99	25-Feb-2026	"Biotechnology, Drug Discovery*"	Healthcare	Pharmaceuticals and Biotechnology		950	"cardiometabolic treatment, metabolic disease, musculoskeletal disorder, musculoskeletal disorder treatment, preclinical development, protein engineering technology, pulmonary hypertension, pulmonary hypertension treatment, therapeutics company"	Life Sciences	950	950						15-Apr-2026	Merger/Acquisition	GSK (LON: GSK)(Tony Wood)	Drug Discovery	"Montreal, Canada"	
171393-85T	360X	2020				Financial Software*	Information Technology	Software		23.87	"assets trading, trading platform developer, trading platform operator, trading platform provider, trading platform service, trading platform technology"	FinTech	11.94	23.87						29-Apr-2021	Merger/Acquisition	Deutsche Börse (ETR: DB1)(Theodor Weimer)	Financial Software	"Frankfurt, Germany"	
319349-53T	365Talents	2015		14.82		"Business/Productivity Software*, Human Capital Services"	Information Technology	Software		61.31	"employee experience, enterprise resource planning, hr transformation, human capital management, talent management firm, talent management platform, talent marketplace, workforce planning"	"Artificial Intelligence & Machine Learning, HR Tech, SaaS"	61.31	61.31						20-Jan-2026	Merger/Acquisition	Docebo (TSE: DCBO)(Alessio Artuffo)	Business/Productivity Software	"Lyon, France"	
