company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,source,confidence,score,status,wikidata_id,wikidata_label,notes
Dreamix,26-Mar-2024,Merger/Acquisition,"""Sofia, Bulgaria""",dreamix,,Wikidata,NONE,45,NO_MATCH,Q138002058,Dreamix Mada,"hq=bulgaria; desc=Service company based in Madagascar, specializing in digital, mobility, and event services."
DripKit,25-Feb-2022,Merger/Acquisition,"""New York, NY""",dripkit,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
DriveWorks,15-Oct-2024,Merger/Acquisition,"""Thelwall, United Kingdom""",driveworks,,Wikidata,NONE,70,NO_MATCH,Q137196697,DriveWorks,hq=united kingdom; desc=design automation software for SOLIDWORKS
Drizly,02-Feb-2021,Merger/Acquisition,"""Boston, MA""",drizly,2012-00-00,Wikidata,MEDIUM,70,REVIEW,Q23808553,Drizly,hq=united states; aliases=drizly.com; desc=liquor selling E-commerce platform
Drone Racing League,19-Apr-2024,Merger/Acquisition,"""New York, NY""",drone racing league,2015-00-00,Wikidata,MEDIUM,70,REVIEW,Q48835558,Drone Racing League,hq=united states; desc=air sports league
"""Drop (Computers, Parts and Peripherals)""",14-Jul-2023,Merger/Acquisition,"""Milpitas, CA""",drop (computers parts and peripherals),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Dropworks (Boulder),15-Oct-2021,Merger/Acquisition,"""Boulder, CO""",dropworks (boulder),,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
DTx Pharma,14-Jul-2023,Merger/Acquisition,"""San Diego, CA""",dtx pharma,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Ducentis,28-Dec-2022,Merger/Acquisition,"""Oxford, United Kingdom""",ducentis,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Duolingo (NAS: DUOL),28-Jul-2021,IPO,"""Pittsburgh, PA""",duolingo,,Wikidata,ERROR,0,ERROR,,,fetch failed
DUPR,24-Jan-2024,Buyout/LBO,"""Delray Beach, FL""",dupr,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q25431887|Q21450534|Q63413269|Q56245371|Q37496138.json
DX,19-Nov-2025,Merger/Acquisition,"""San Francisco, CA""",dx,,Wikidata,ERROR,0,ERROR,,,HTTP 404 for https://www.wikidata.org/wiki/Special:EntityData/Q422252|Q4252370|Q188695|Q296277|Q193439.json
