company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,date_basis,source,confidence,score,status,wikidata_id,wikidata_label,notes
Laminar (Surgical Devices),30-Nov-2023,Merger/Acquisition,"""Santa Rosa, CA""",laminar (surgical devices),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lana Labs,11-Aug-2021,Merger/Acquisition,"""Berlin, Germany""",lana labs,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Landos Biopharma,04-Feb-2021,IPO,"""Blacksburg, VA""",landos biopharma,,,Wikidata,NONE,70,NO_MATCH,Q140184659,"Landos Biopharma, Inc.",hq=united states
Landvault,09-Jul-2024,Merger/Acquisition,"""London, United Kingdom""",landvault,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lane,19-Oct-2021,Merger/Acquisition,"""Toronto, Canada""",lane,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
LanzaTech Global (NAS: LNZA),08-Feb-2023,Reverse Merger,"""Skokie, IL""",lanzatech global,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LAPOYOMA,09-Dec-2021,Buyout/LBO,"""Suwanee, GA""",lapoyoma,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Largo (Electronics) (PAR: ALLGO),23-Apr-2021,IPO,"""Sainte-Luce-sur-Loire, France""",largo (electronics),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LashBack,01-Jul-2022,Merger/Acquisition,"""Saint Louis, MO""",lashback,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Latch Systems (PINX: LTCH),10-Jun-2021,Reverse Merger,"""New York, NY""",latch systems,,,Wikidata,NONE,70,NO_MATCH,Q140184662,"LATCH SYSTEMS, INC.",hq=united states
Later (Media and Information Services (B2B)),26-Apr-2022,Merger/Acquisition,"""Vancouver, Canada""",later (media and information services (b2b)),,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Lava Therapeutics,25-Mar-2021,IPO,"""Utrecht, Netherlands""",lava therapeutics,2016,operating_founding,Wikidata,LOW,45,REVIEW,Q107519874,Lava Therapeutics (Netherlands),"hq=netherlands; desc=company in Utrecht, Netherlands"
Layer0,07-Sep-2021,Merger/Acquisition,"""San Francisco, CA""",layer0,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LB Pharmaceuticals (NAS: LBRX),10-Sep-2025,IPO,"""New York, NY""",lb pharmaceuticals,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Leading Light,23-May-2023,Merger/Acquisition,"""G�teborg, Sweden""",leading light,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Leaf Group,14-Jun-2021,Merger/Acquisition,"""New York, NY""",leaf,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Leafline Labs,30-Dec-2021,Merger/Acquisition,"""Saint Cloud, MN""",leafline labs,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
League Network,30-Apr-2022,Merger/Acquisition,"""Newark, NJ""",league network,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Leanbio,02-Dec-2025,Merger/Acquisition,"""Barcelona, Spain""",leanbio,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Leap (Entertainment Software),12-Apr-2023,Merger/Acquisition,"""Birkirkara, Malta""",leap (entertainment software),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LeapYear,10-Feb-2023,Merger/Acquisition,"""San Francisco, CA""",leapyear,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Learning to Sleep,03-Feb-2022,IPO,"""Malmo, Sweden""",learning to sleep,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
LeaseTrack,01-Feb-2021,Merger/Acquisition,"""New York, NY""",leasetrack,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LeddarTech Holdings (PINX: LDTCF),06-Dec-2023,Reverse Merger,"""Quebec City, Canada""",leddartech,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LedgerSwarm,01-Mar-2023,Merger/Acquisition,"""London, United Kingdom""",ledgerswarm,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Leef (Acquired),20-Apr-2022,Merger/Acquisition,"""Willits, CA""",leef (acquired),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Legimi (WAR: LEG),14-Apr-2021,IPO,"""Poznan, Poland""",legimi,,,Wikidata,NONE,45,NO_MATCH,Q6518076,Legimin Raharjo,hq=poland; desc=Indonesian footballer
Lemtapes,15-Dec-2022,Merger/Acquisition,"""Valkeakoski, Finland""",lemtapes,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LendInvest (LON: LINV),14-Jul-2021,IPO,"""London, United Kingdom""",lendinvest,2008-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q16996146,LendInvest,hq=united kingdom; desc=Peer-to-peer lending platform
Lengo Therapeutics,30-Dec-2021,Merger/Acquisition,"""San Diego, CA""",lengo therapeutics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lensar (NAS: LNSR),01-Sep-2025,Merger/Acquisition,"""Orlando, FL""",lensar,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
LENZ Therapeutics (NAS: LENZ),21-Mar-2024,Reverse Merger,"""Solana Beach, CA""",lenz therapeutics,,,Wikidata,NONE,70,NO_MATCH,Q139917457,"LENZ THERAPEUTICS, INC.",hq=united states
LeoVegas Mobile Gaming Group,07-Sep-2022,Merger/Acquisition,"""Stockholm, Sweden""",leovegas mobile gaming,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lepermislibre (PAR: ALLPL),13-Feb-2023,IPO,"""Lyon, France""",lepermislibre,2014-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q86663263,lePERMISLIBRE,hq=france; desc=French driving school
Lerta,01-Feb-2023,Merger/Acquisition,"""Poznan, Poland""",lerta,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Lessonly,16-Aug-2021,Merger/Acquisition,"""Indianapolis, IN""",lessonly,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LevelCredit,17-Feb-2022,Merger/Acquisition,"""St. Louis Park, MN""",levelcredit,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Levelset,02-Nov-2021,Merger/Acquisition,"""New Orleans, LA""",levelset,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LevlUp,31-May-2021,Merger/Acquisition,"""Heerenveen, Netherlands""",levlup,,,Wikidata,NONE,70,NO_MATCH,Q121716491,LevlUp,hq=netherlands
Levvel (Consulting Services (B2B)),31-Mar-2021,Merger/Acquisition,"""Charlotte, NC""",levvel (consulting services (b2b)),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lexeo Therapeutics (NAS: LXEO),03-Nov-2023,IPO,"""New York, NY""",lexeo therapeutics,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lexion,06-May-2024,Merger/Acquisition,"""Seattle, WA""",lexion,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
LG Ads Solutions,06-Jan-2021,Merger/Acquisition,"""Mountain View, CA""",lg ads solutions,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lhyfe (PAR: LHYFE),23-May-2022,IPO,"""Nantes, France""",lhyfe,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Li-Cycle,11-Aug-2021,Reverse Merger,"""Toronto, Canada""",li-cycle,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Libertine (Electrical Equipment),23-Dec-2021,IPO,"""Sheffield, United Kingdom""",libertine (electrical equipment),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LibertyX,05-Jan-2022,Merger/Acquisition,"""Atlanta, GA""",libertyx,2014-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q109287417,LibertyX,hq=united states; desc=bitcoin ATM network
Libra (Legal Services),19-Nov-2025,Merger/Acquisition,"""Berlin, Germany""",libra (legal services),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lichthund (WAR: LHD),13-May-2024,IPO,"""Warsaw, Poland""",lichthund,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LifeDNA,03-May-2023,Merger/Acquisition,"""Honolulu, HI""",lifedna,,,Wikidata,NONE,45,NO_MATCH,Q111845587,"LifeDNAquatic: A priori settings and refined pipelines of eDNA metabarcoding to generate ""big data"" for solid fish, mussel and amphibian SDMs",hq=united states; desc=scientific article published on 04 March 2021
LifeSafe Holdings (STU: JZ3),06-Jul-2022,IPO,"""Essex, United Kingdom""",lifesafe,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Lifestage Solutions,26-Jul-2021,Merger/Acquisition,"""Otelfingen, Switzerland""",lifestage solutions,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Lift Session,08-Oct-2021,Merger/Acquisition,"""Montreal, Canada""",lift session,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LightDeck,03-Jan-2023,Merger/Acquisition,"""Boulder, CO""",lightdeck,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lightning eMotors (PINX: ZEVY),07-May-2021,Reverse Merger,"""Loveland, CO""",lightning emotors,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LightOn (PAR: ALTAI),26-Nov-2024,IPO,"""Paris, France""",lighton,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Lightpoint Medical,01-Nov-2023,Merger/Acquisition,"""Amersham, United Kingdom""",lightpoint medical,2012,operating_founding,Wikidata,LOW,45,REVIEW,Q30290260,Lightpoint Medical (United Kingdom),"hq=united kingdom; desc=company in Rickmansworth, United Kingdom"
LightStep,15-Jun-2021,Merger/Acquisition,"""San Francisco, CA""",lightstep,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Lightstream,12-Apr-2021,Merger/Acquisition,"""Chicago, IL""",lightstream,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Lilium (PINX: LILMF),14-Sep-2021,Reverse Merger,"""Gauting, Germany""",lilium,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Limeade,10-Aug-2023,Merger/Acquisition,"""Bellevue, WA""",limeade,,,Wikidata,NONE,70,NO_MATCH,Q488482,limeade,hq=united states; aliases=lime punch; desc=lime-flavored beverage
LimFlow,15-Nov-2023,Merger/Acquisition,"""Paris, France""",limflow,,,Wikidata,NONE,45,NO_MATCH,Q129871138,LIMFLOW - A Percutaneous Approach to Deep Vein Arterialization: Site Update,hq=france; desc=scholarly article published in June 2018
Lineage (NAS: LINE),26-Jul-2024,IPO,"""Novi, MI""",lineage,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Lingotek,21-Jan-2021,Merger/Acquisition,"""Lehi, UT""",lingotek,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Lingualeo,20-Apr-2023,Merger/Acquisition,"""Moscow, Russia""",lingualeo,2010-00-00,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q4042982,Lingualeo,hq=russia; aliases=lingualeo.com; desc=English language learning service
Link3D,04-Jan-2022,Merger/Acquisition,"""Boulder, CO""",link3d,,,Wikidata,NONE,45,NO_MATCH,Q129827075,LinK3D: Linear Keypoints Representation for 3D LiDAR Point Cloud,hq=united states; desc=scholarly article published in March 2024
Linkfire,28-Jun-2021,IPO,"""Copenhagen, Denmark""",linkfire,,,Wikidata,NONE,70,NO_MATCH,Q95877104,Linkfire,hq=denmark; aliases=Linkfire.com|lnk.to; desc=marketing and advertising platform
Linkfluence,05-May-2021,Merger/Acquisition,"""Paris, France""",linkfluence,2006,operating_founding,Wikidata,MEDIUM,70,REVIEW,Q30421595,Linkfluence,hq=france; aliases=Radarly
LinkUp (Human Capital Services),27-Oct-2024,Merger/Acquisition,"""Minneapolis, MN""",linkup (human capital services),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lion Gaming,15-Jan-2025,Merger/Acquisition,"""Calgary, Canada""",lion gaming,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lion Semiconductor,20-Jul-2021,Merger/Acquisition,"""San Francisco, CA""",lion semiconductor,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lipella Pharmaceuticals (PINX: LIPO),20-Dec-2022,IPO,"""Pittsburgh, PA""",lipella pharmaceuticals,,,Wikidata,NONE,45,NO_MATCH,Q30281308,Lipella Pharmaceuticals (United States),"hq=united states; desc=company in Pittsburgh, United States"
Lipigon Pharmaceuticals (STO: LPGO),01-Mar-2021,IPO,"""Umeaa, Sweden""",lipigon pharmaceuticals,2010,operating_founding,Wikidata,LOW,45,REVIEW,Q61932204,Lipigon Pharmaceuticals (Sweden),"hq=sweden; desc=company in Umeå, Sweden"
Lipum (STO: LIPUM),22-Apr-2021,IPO,"""Umea, Sweden""",lipum,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Liqal,15-Oct-2021,Merger/Acquisition,"""Breda, Netherlands""",liqal,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Lithium Balance,29-Jan-2021,Merger/Acquisition,"""Herlev, Denmark""",lithium balance,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Live Motion Games (WAR: LMG),03-Dec-2021,IPO,"""Warsaw, Poland""",live motion games,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Live Objects,01-May-2021,Merger/Acquisition,"""Palo Alto, CA""",live objects,,,Wikidata,NONE,45,NO_MATCH,Q57006093,Live Objects - Collaborative Window in the Corporate Documents,hq=united states; desc=article by Riste Stojanov et al published 2015 in Advances in Intelligent Systems and Computing
LiveBy,20-Apr-2021,Merger/Acquisition,"""Lincoln, NE""",liveby,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LiveEasy,22-Oct-2024,Merger/Acquisition,"""Columbus, OH""",liveeasy,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LiveIntent,21-Oct-2024,Merger/Acquisition,"""New York, NY""",liveintent,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Livity ( Media and Information Services),28-Feb-2022,Merger/Acquisition,"""London, United Kingdom""",livity ( media and information services),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
LivsMed (KRX: 491000),24-Dec-2025,IPO,"""San Diego, CA""",livsmed,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
LlamaZOO,26-May-2025,Merger/Acquisition,"""Victoria, Canada""",llamazoo,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lmrkts,13-Aug-2021,Merger/Acquisition,"""New York, NY""",lmrkts,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lobesity,19-Jul-2021,Merger/Acquisition,"""Cleveland, OH""",lobesity,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lobo Genetics,29-Jul-2021,Merger/Acquisition,"""Mississauga, Canada""",lobo genetics,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Local Bounti (NYS: LOCL),19-Nov-2021,Reverse Merger,"""Hamilton, MT""",local bounti,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Locally.io,18-Feb-2021,Merger/Acquisition,"""Irvine, CA""",locallyio,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
