company,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,notes
&ever,01-Oct-2021,Merger/Acquisition,"""Munich, Germany""",,,,
1606 (PINX: CBDW),12-Jan-2023,IPO,"""Phoenix, AZ""",,,,
21seeds,31-Mar-2022,Merger/Acquisition,"""San Francisco, CA""",,,,
24Storage,20-Dec-2021,Merger/Acquisition,"""Stockholm, Sweden""",,,,
2600Hz,20-Oct-2023,Merger/Acquisition,"""Henderson, NV""",,,,
2nd.MD,02-Mar-2021,Merger/Acquisition,"""Houston, TX""",,,,
"""300 (Movies, Music and Entertainment)""",16-Dec-2021,Merger/Acquisition,"""New York, NY""",,,,
360X,29-Apr-2021,Merger/Acquisition,"""Frankfurt, Germany""",,,,
365Talents,20-Jan-2026,Merger/Acquisition,"""Lyon, France""",,,,
3a-Diagnostics,06-Dec-2021,Merger/Acquisition,"""Frickenhausen, Germany""",,,,
3DEO,12-Nov-2025,Merger/Acquisition,"""Belfast, United Kingdom""",,,,
3iQ,23-Apr-2024,Merger/Acquisition,"""Toronto, Canada""",,,,
3radical,03-May-2024,Merger/Acquisition,"""Bristol, United Kingdom""",,,,
401kplans.com,31-May-2022,Merger/Acquisition,"""Naples, FL""",,,,
42matters,01-Jul-2024,Merger/Acquisition,"""Zurich, Switzerland""",,,,
4U By Tia,02-Dec-2023,Merger/Acquisition,"""Emeryville, CA""",,,,
5th Planet Games (OSL: 5PG),23-Sep-2021,Merger/Acquisition,"""Copenhagen, Denmark""",,,,
60 Degrees Pharma (NAS: SXTP),13-Jul-2023,IPO,"""Washington, DC""",,,,
7D Surgical,20-May-2021,Merger/Acquisition,"""Toronto, Canada""",,,,
8 Rivers,07-Mar-2023,Merger/Acquisition,"""Durham, NC""",,,,
89bio,30-Oct-2025,Merger/Acquisition,"""San Francisco, CA""",,,,
98point6,04-Apr-2023,Merger/Acquisition,"""Seattle, WA""",,,,
Aardvark Therapeutics (NAS: AARD),13-Feb-2025,IPO,"""San Diego, CA""",,,,
Aarki,16-Jul-2021,Merger/Acquisition,"""San Francisco, CA""",,,,
Aaron.ai,22-May-2024,Merger/Acquisition,"""Berlin, Germany""",,,,
AAT Carriers,09-Feb-2022,Merger/Acquisition,"""Chattanooga, TN""",,,,
AavantiBio,02-Dec-2022,Merger/Acquisition,"""Cambridge, MA""",,,,
Abaca (Financial Software),15-Nov-2022,Merger/Acquisition,"""North Little Rock, AR""",,,,
AbelZeta,19-Feb-2021,Merger/Acquisition,"""Rockville, MD""",,,,
Abfero Pharmaceuticals,11-Nov-2021,Merger/Acquisition,"""Boston, MA""",,,,
