company,ticker,cik,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,status,matched_name,form,filing_url,notes
GenFlow Biosciences (LON: GENF),GENF,,17-Jan-2022,IPO,"""London, United Kingdom""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
GENinCode (LON: GENI),GENI,0001834489,22-Jul-2021,IPO,"""Oxford, United Kingdom""",2006,SEC filing,LOW,SEC_MATCH,Genius Sports Ltd,20-F,https://www.sec.gov/Archives/edgar/data/1834489/000119312526110749/geni-20251231.htm,Extracted from filing text: founded in 2006
Genomtec (WAR: GMT),GMT,,17-Mar-2021,IPO,"""Wroclaw, Poland""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Getaround (PINX: GETR),GETR,,09-Dec-2022,Reverse Merger,"""San Francisco, CA""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
GH Research (NAS: GHRS),GHRS,0001855129,25-Jun-2021,IPO,"""Dublin, Ireland""",2021-03-29,SEC filing,HIGH,SEC_MATCH,GH Research PLC,20-F,https://www.sec.gov/Archives/edgar/data/1855129/000114036126007986/ef20059887_20f.htm,"Extracted from filing text: incorporated on March 29, 2021"
Ginkgo Bioworks (NYS: DNA),DNA,0001830214,16-Sep-2021,Reverse Merger,"""Boston, MA""",,SEC,LOW,MATCH_NO_DATE,"Ginkgo Bioworks Holdings, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/1830214/000162828026024101/dna-20260403.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-04-07
GitLab (NAS: GTLB),GTLB,0001653482,14-Oct-2021,IPO,"""San Francisco, CA""",2014-09-12,SEC filing,HIGH,SEC_MATCH,Gitlab Inc.,10-K,https://www.sec.gov/Archives/edgar/data/1653482/000162828026018731/gtlb-20260131.htm,"Extracted from filing text: incorporated in Delaware on September 12, 2014"
Glass House Group (NEOE: GLAS.A.U),GLAS.A.U,,29-Jun-2021,Reverse Merger,"""Long Beach, CA""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
Gloo Holdings (NAS: GLOO),GLOO,0002069785,18-Nov-2025,IPO,"""Boulder, CO""",,SEC,LOW,MATCH_NO_DATE,"Gloo Holdings, Inc.",8-K,https://www.sec.gov/Archives/edgar/data/2069785/000119312526085458/gloo-20260302.htm,Matched by ticker; no founding/incorporation text extracted from 8-K filed 2026-03-02
Gold Flora (PINX: GRAM),GRAM,,09-Jul-2023,Reverse Merger,"""Costa Mesa, CA""",,SEC,NONE,NO_SEC_MATCH,,,,No SEC ticker/name match
