company,latest_exit_date,deal_type,hq_location,founding_date,date_basis,source,confidence,status,time_to_exit_years,recommendation,review_reason,matched_name,url,notes
Maximum Games,29-Nov-2021,Merger/Acquisition,"""Walnut Creek, CA""",2009,operating_founding,Wikidata,HIGH,LIKELY_MATCH,12.91,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,hq=united states; aliases=Global Software Publishing Ltd.|Global Software Publishing|Maximum Games Ltd; desc=video game publisher and distributor
Navitas Semiconductor (NAS: NVTS),19-Oct-2021,Reverse Merger,"""Torrance, CA""",2014,operating_founding,Wikidata,HIGH,LIKELY_MATCH,7.80,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,hq=united states; aliases=Navitas Semiconductor Corp|Navitas Semiconductor Corporation
Planethic Group (FRA: VEZ),10-Nov-2021,IPO,"""Ludwigsfelde, Germany""",2011,operating_founding,Wikidata,HIGH,LIKELY_MATCH,10.86,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,hq=germany; aliases=Veganz AG|Planethic Group; desc=provider of vegan foods and FoodTech solutions
Pony.ai (HKG: 02026),27-Nov-2024,IPO,"""Fremont, CA""",2016-12,operating_founding,Wikidata,HIGH,LIKELY_MATCH,7.99,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,hq=united states; aliases=pony.ai|Pony AI; desc=autonomous vehicle technology company
Skytap,26-Apr-2024,Merger/Acquisition,"""Seattle, WA""",2006,operating_founding,Wikidata,HIGH,LIKELY_MATCH,18.32,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,"hq=united states; aliases=Skytap, Inc.; desc=American cloud computing company"
Terran Orbital,25-Mar-2022,Reverse Merger,"""Irvine, CA""",2013,operating_founding,Wikidata,HIGH,LIKELY_MATCH,9.23,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,"hq=united states; aliases=Terran Orbital; desc=American satellite company, subsidiary of Lockheed Martin"
Tyra Biosciences (NAS: TYRA),15-Sep-2021,IPO,"""Carlsbad, CA""",2018,operating_founding,Wikidata,HIGH,LIKELY_MATCH,3.70,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,"hq=united states; aliases=Tyra|Tyra Biosciences, Inc.; desc=company in Carlsbad, United States"
UiPath (NYS: PATH),21-Apr-2021,IPO,"""New York, NY""",2005,operating_founding,Wikidata,HIGH,LIKELY_MATCH,16.30,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,hq=united states; aliases=UiPath Inc.; desc=robotics process automation company
VocaliD,10-Jun-2022,Merger/Acquisition,"""Belmont, MA""",2014,operating_founding,Wikidata,HIGH,LIKELY_MATCH,8.44,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,"hq=united states; aliases=Vocalid|VOCALiD; desc=voice AI company based in Belmont, Massachusetts, United States"
Warby Parker (NYS: WRBY),29-Sep-2021,IPO,"""New York, NY""",2010,operating_founding,Wikidata,HIGH,LIKELY_MATCH,11.74,PROMOTE_CANDIDATE,Operating founding date with usable confidence,,,"hq=united states; aliases=Warby Parker (dba Jand)|JAND, Inc|Warby Parker Inc.; desc=American eyeglasses and contact lens retailer"
