company,latest_exit_date,deal_type,hq_location
1606 (PINX: CBDW),12-Jan-2023,IPO,"""Phoenix, AZ"""
60 Degrees Pharma (NAS: SXTP),13-Jul-2023,IPO,"""Washington, DC"""
Aardvark Therapeutics (NAS: AARD),13-Feb-2025,IPO,"""San Diego, CA"""
Absci (NAS: ABSI),22-Jul-2021,IPO,"""Vancouver, WA"""
Acast (STO: ACAST),17-Jun-2021,IPO,"""Stockholm, Sweden"""
Aclarion (NAS: ACON),25-Apr-2022,IPO,"""Broomfield, CO"""
Acrivon Therapeutics (NAS: ACRV),15-Nov-2022,IPO,"""Watertown, MA"""
Actuate Therapeutics (NAS: ACTU),12-Aug-2024,IPO,"""Fort Worth, TX"""
Acurx Pharmaceuticals (NAS: ACXP),25-Jun-2021,IPO,"""Staten Island, NY"""
ACV Auctions (NYS: ACVA),24-Mar-2021,IPO,"""Buffalo, NY"""
Adagio Medical (NAS: ADGM),31-Jul-2024,Reverse Merger,"""Laguna Hills, CA"""
Adamas One (PINX: JEWL),02-Dec-2022,IPO,"""Scottsdale, AZ"""
Adlai Nortye (NAS: ANL),29-Sep-2023,IPO,"""North Brunswick Township, NJ"""
Adonis Minerals (CNQ: ADON),12-Mar-2025,IPO,"""Vancouver, Canada"""
Advent Technologies Holdings (PINX: ADNH),04-Feb-2021,Reverse Merger,"""Livermore, CA"""
Aelis Farma (PAR: AELIS),18-Feb-2022,IPO,"""Bordeaux, France"""
Aeva Technologies (NAS: AEVA),11-Mar-2021,Reverse Merger,"""Mountain View, CA"""
AEye (NAS: LIDR),18-Aug-2021,Reverse Merger,"""Pleasanton, CA"""
Affirm (NAS: AFRM),13-Jan-2021,IPO,"""San Francisco, CA"""
Afyren (PAR: ALAFY),01-Oct-2021,IPO,"""Clermont-Ferrand, France"""
Agomab Therapeutics (NAS: AGMB),06-Feb-2026,IPO,"""Antwerp, Belgium"""
Aiforia Technologies (HEL: AIFORIA),10-Dec-2021,IPO,"""Helsinki, Finland"""
AirJoule Technologies (NAS: AIRJ),14-Mar-2024,Reverse Merger,"""Wilmington, DE"""
Airthings (OSL: AIRX),23-Dec-2025,Merger/Acquisition,"""Oslo, Norway"""
Aktis Oncology (NAS: AKTS),09-Jan-2026,IPO,"""Boston, MA"""
Alfonsino (MIL: ALFO),22-Nov-2021,IPO,"""Caserta, Italy"""
Alkami (NAS: ALKT),13-Apr-2021,IPO,"""Plano, TX"""
Allurion Technologies (NYS: ALUR),01-Aug-2023,Reverse Merger,"""Paris, France"""
Alto Neuroscience (NYS: ANRO),02-Feb-2024,IPO,"""Mountain View, CA"""
Alumis (NAS: ALMS),28-Jun-2024,IPO,"""South San Francisco, CA"""
Alzamend Neuro (NAS: ALZN),15-Jun-2021,IPO,"""Atlanta, GA"""
Ambiq (NYS: AMBQ),30-Jul-2025,IPO,"""Austin, TX"""
Amprius Technologies (NYS: AMPX),14-Sep-2022,Reverse Merger,"""Fremont, CA"""
AMTD Digital (NYS: HKD),15-Jul-2022,IPO,"""Paris, France"""
Amylyx Pharmaceuticals (NAS: AMLX),07-Jan-2022,IPO,"""Cambridge, MA"""
AN2 Therapeutics (NAS: ANTX),25-Mar-2022,IPO,"""Menlo Park, CA"""
Anebulo Pharmaceuticals (NAS: ANEB),07-May-2021,IPO,"""Lakeway, TX"""
Angel Studios (NYS: ANGX),10-Sep-2025,Reverse Merger,"""Provo, UT"""
Apogee Therapeutics (NAS: APGE),13-Jul-2023,IPO,"""Waltham, MA"""
Apollomics (NAS: APLM),26-Mar-2023,Reverse Merger,"""Foster City, CA"""
Appear (Hardware) (OSL: APR),06-Nov-2025,IPO,"""Oslo, Norway"""
Aptamer Group (LON: APTA),22-Dec-2021,IPO,"""York, United Kingdom"""
Aramis Group (PAR: ARAMI),17-Jun-2021,IPO,"""Arcueil, France"""
Arcellx (NAS: ACLX),04-Feb-2022,IPO,"""Gaithersburg, MD"""
Arctic Fish Holding (OSL: AFISH),29-Dec-2022,Merger/Acquisition,"""Isafjordur, Iceland"""
Arecor Therapeutics (LON: AREC),03-Jun-2021,IPO,"""Little Chesterford, United Kingdom"""
Arqit (NAS: ARQQ),03-Sep-2021,Reverse Merger,"""London, United Kingdom"""
ArriVent Biopharma (NAS: AVBP),26-Jan-2024,IPO,"""Newtown Square, PA"""
ARS Pharmaceuticals (NAS: SPRY),08-Nov-2022,Reverse Merger,"""San Diego, CA"""
Arteris (NAS: AIP),27-Oct-2021,IPO,"""Campbell, CA"""
Artiva (NAS: ARTV),19-Jul-2024,IPO,"""San Diego, CA"""
Ascend Wellness Holdings (CNQ: AAWH.U),28-Apr-2021,IPO,"""Morristown, NJ"""
AST SpaceMobile (NAS: ASTS),06-Apr-2021,Reverse Merger,"""Midland, TX"""
Astera Labs (NAS: ALAB),20-Mar-2024,IPO,"""San Jose, CA"""
Astrid Intelligence (LON: CLAI),26-Feb-2021,IPO,"""London, United Kingdom"""
AtaiBeckley (NAS: ATAI),18-Jun-2021,IPO,"""New York, NY"""
Atlantic International (NAS: ATLN),27-Aug-2021,IPO,"""Billerica, MA"""
Atomic Jelly (WAR: ATJ),09-Feb-2021,IPO,"""Poznan, Poland"""
Auddia (NAS: AUUD),17-Feb-2021,IPO,"""Boulder, CO"""
Aura Biosciences (NAS: AURA),02-Nov-2021,IPO,"""Cambridge, MA"""
Autonomix (NAS: AMIX),26-Jan-2024,IPO,"""The Woodlands, TX"""
AVAX One Technology (NAS: AVX),08-Jul-2021,IPO,"""Vancouver, Canada"""
Azerion Group (AMS: AZRN),02-Feb-2022,Reverse Merger,"""Amsterdam, Netherlands"""
Azitra (ASE: AZTR),15-Jun-2023,IPO,"""Branford, CT"""
Bakkt Holdings (NYS: BKKT),18-Oct-2021,Reverse Merger,"""Alpharetta, GA"""
Banzai International (NAS: BNZI),14-Dec-2023,Reverse Merger,"""Bainbridge Island, WA"""
Barinthus Biotherapeutics (NAS: BRNS),30-Apr-2021,IPO,"""Harwell, United Kingdom"""
Bawat (STO: BAWAT),28-Mar-2022,IPO,"""Horsholm, Denmark"""
Belite Bio (NAS: BLTE),29-Apr-2022,IPO,"""San Diego, CA"""
Bercman Technologies (TAL: BERCM),06-Jul-2021,IPO,"""Tartu, Estonia"""
Beta Bionics (NAS: BBNX),29-Jan-2025,IPO,"""Irvine, CA"""
BETA Technologies (NYS: BETA),04-Nov-2025,IPO,"""South Burlington, VT"""
Betolar (HEL: BETOLAR),09-Dec-2021,IPO,"""Kannonkoski, Finland"""
Better Home & Finance Holding (NAS: BETR),22-Aug-2023,Reverse Merger,"""New York, NY"""
BFLY Operations (NYS: BFLY),12-Feb-2021,Reverse Merger,"""Burlington, MA"""
Bicara Therapeutics (NAS: BCAX),09-Jan-2021,Merger/Acquisition,"""Boston, MA"""
BillionToOne (NAS: BLLN),06-Nov-2025,IPO,"""Menlo Park, CA"""
bioAffinity Technologies (NAS: BIAF),01-Sep-2022,IPO,"""San Antonio, TX"""
BioAge Labs (NAS: BIOA),26-Sep-2024,IPO,"""Richmond, CA"""
Biodit (XBUL: BDT),21-Jan-2021,IPO,"""Sofia, Bulgaria"""
Biohaven (NYS: BHVN),03-Oct-2022,Merger/Acquisition,"""New Haven, CT"""
Biomea Fusion (NAS: BMEA),16-Apr-2021,IPO,"""Redwood City, CA"""
BioSenic (BRU: BIOS),25-Oct-2022,Reverse Merger,"""Mont-Saint-Guibert, Belgium"""
Biosergen (STO: BIOSGN),24-Jun-2021,IPO,"""Solna, Sweden"""
Biotalys (BRU: BTLS),02-Jul-2021,IPO,"""Ghent, Belgium"""
BioVersys (SWX: BIOV),07-Feb-2025,IPO,"""Basel, Switzerland"""
BitGo (NYS: BTGO),22-Jan-2026,IPO,"""Palo Alto, CA"""
BlackSky Technology (NYS: BKSY),08-Sep-2021,Reverse Merger,"""Herndon, VA"""
Blaize (NAS: BZAI),13-Jan-2025,Reverse Merger,"""El Dorado Hills, CA"""
Blend Labs (NYS: BLND),16-Jul-2021,IPO,"""San Francisco, CA"""
