order	company	size	category	hq	keywords	acquirer
0	Kumovis	44.16	Healthcare	Munich, Germany	3d printing medical device, 3d systems, additives manufacturing, control software, medical	3D Systems (NYS: DDD)(Jeffrey Graves)
1	Bridgecrew	156.9	Devtools/DevOps	San Francisco, CA	cloud security platform, cloud security system, devops security, network management softwa	Palo Alto Networks (NAS: PANW)(Dipak Golechha)
2	Humi (Business/Productivity Softwar)	100.0	Enterprise Software	Toronto, Canada	digital employment, employee benefit, employee data, enterprise resource planning, hr soft	Employment Hero(Benjamin Thompson)
3	QueueDr	10.12	Healthcare	San Francisco, CA	appointment books, appointment tracking application, crm, customer relationship management	Phreesia (NYS: PHR)(Chaim Indig)
4	Demyst	100.0	Enterprise Software	New York, NY	analytics platform, big data technology, business intelligence platform, data infrastructu	Feedzai(Nuno Sebastiao)
5	Betty Labs	67.93	Enterprise Software	Los Angeles, CA	live sports, live sports games, sports app, sports application, sports application develop	Spotify (NYS: SPOT)(Gustav S�derstr�m)
6	Upskill (Software Development Applications)	15.21	Devtools/DevOps	Vienna, VA	augmented reality, business management tool, business optimization software, email and aut	TeamViewer Germany (ETR: TMV)(Oliver Steil)
7	HUUB (Logistics)	10.0	Physical Economy	Matosinhos, Portugal	distribution chain, logistics platform software, logistics service chain, logistics soluti	A.P. Moller - Maersk (CSE: MAERSK B)(Vincent Clerc)
8	Gamma.AI	20.4	Devtools/DevOps	Sunnyvale, CA	awareness program, big data platform, data analytics platform, data provisioning, enterpri	Palo Alto Networks (NAS: PANW)
9	Mirametrix	68.5	Enterprise Software	Montreal, Canada	ai platform, analytics platform, artificial intelligence firm, attention sensing, attentio	Lattice Semiconductor (NAS: LSCC)(James Anderson)
10	Kinvolved	23.3	Enterprise Software	New York, NY	analytics platform, analytics platform software, management software, school communication	PowerSchool Holdings(Hardeep Gulati), Vista Equity Partners
11	Later (Media and Information Services (B2B))	135.0	Enterprise Software	Vancouver, Canada	content management platform, content marketing, crm, customer relationship management, mar	Later(Lyle Stevens)
12	i2O Water	19.7	Enterprise Software	Southampton, United Kingdom	leakage reduction, network services, pressure control, pressure management, smart network,	Mueller Water Products (NYS: MWA)
13	Credly	200.0	Enterprise Software	New York, NY	digital badges, digital credential platform, digital credentialing management, digital cre	Pearson (LON: PSON)
14	Neteven	14.9	Enterprise Software	Paris, France	crm, customer relationship management, ecommerce personalization, marketplace management, 	Lectra (PAR: LSS)(Daniel Harari)
15	TurboSquid	75.0	Enterprise Software	New Orleans, LA	3d animation, 3d modelling, 3d visual, content services, design media, digital artists, km	Shutterstock (NYS: SSTK)(Stan Pavlovsky)
16	LaborChart	76.2	Enterprise Software	Overland Park, KS	construction industry, enterprise resource planning, erp, human capital management, workfo	Procore Technologies (NYS: PCOR)(Craig Courtemanche)
17	Segmint	135.13	Enterprise Software	Cuyahoga Falls, OH	advertising segment, customer engagement, data driven marketing, data driven marketing pla	Alkami (NAS: ALKT)(Alex Shootman)
18	Uplogix	10.47	Devtools/DevOps	Austin, TX	network automation software, network infrastructure, network management automation, networ	Lantronix (NAS: LTRX)
19	Get A-Head	12.64	Healthcare	Toronto, Canada	enterprise resource planning, erp, healthcare, mental health assessment, mental health pla	Keel Digital Solutions
20	UpLift (Clinics/Outpatient Services)	44.6	Healthcare	Tampa, FL	behavioral health, digital health app, mental healthcare service, mental illness therapy, 	Teladoc Health (NYS: TDOC)
21	Fit Analytics	124.4	Enterprise Software	Berlin, Germany	customer relationship management, data analytics platform, internet shopping, online cloth	Snapchat (NYS: SNAP)
22	Twistle	104.5	Enterprise Software	Albuquerque, NM	enterprise resource planning, erp, healthcare technology, healthcare technology management	Health Catalyst (NAS: HCAT)
23	GeoPhy	202.6	Enterprise Software	The Hague, Netherlands	abi custom application, analytics platform, property analytics, property analytics platfor	Walker & Dunlop (NYS: WD)(William Walker)
24	Wematter	13.25	Physical Economy	Link�ping, Sweden	3d printer, 3d printer systems, manufacturing, print functional components, printer manufa	3D Systems (NYS: DDD)(Jeffrey Graves)
25	THEO Technologies	58.7	Enterprise Software	Leuven, Belgium	adaptive streaming, online media, streaming application, streaming technology, video conte	Dolby Laboratories (NYS: DLB)(Giles Baker)
26	Cognito (Network Management Software)	250.0	Devtools/DevOps	Walnut, CA	anti fraud compliance, anti fraud technology, due diligence, fraud detection, identity man	Plaid(Zachary Perret)
27	Pento	40.0	Enterprise Software	London, United Kingdom	cfo stack, earned wage access, enterprise resource planning, human capital management, pay	HiBob
